business_id,name,address,city,postal_code,stars,review_count
KxSCZOc7jX_x1hrMz4DPTw,Kal Tire,27 Strathmoor Drive,Sherwood Park,T8H 0C1,4.0,9
RuBWR6CAgVi7iWR8LHUi6A,Lee House,10704 97 Street NW,Edmonton,T5H 2L9,4.0,30
4nWrhQu2z7SbcPmGP8TcAA,Go Auto Outlet West,17860 102 Ave NW,Edmonton,T5S 1M9,1.5,24
6cPVGUOVlHa6TwlgU08IXQ,Dr.Green,,Edmonton,,1.5,7
qS4CaO_u_vMrTl31XJto1A,Szechuan Paramount Restaurant,12901 97 Street NW,Edmonton,T5E 4C2,3.0,25
Nolwnmtnt5QeDGlS0bsCGQ,Five Guys,993 Fir Street- Unit 60,Sherwood Park,T8A 4N5,4.0,37
4g73Q9mMpttLwGTIuCZSxA,Go Honda,10220 - 184 Street NW,Edmonton,T5S 0B9,3.0,6
8mElCveTpsBGuu9zOdLXbQ,Dream Tea House,West Edmonton Mall- 8882 170th St,Edmonton,T5T 4M2,4.0,30
Ojd913yxClnEwQSthSd8XQ,BarBurrito - South Edmonton,2213 98th St NW,Edmonton,T6N 1K7,3.5,8
A6FDSdfwLPgl2T3ayKllqQ,Chili's Texas Grill,17020 100th Avenue,Edmonton,T5S 2E7,2.5,20
QehLpDI-ZdJJLu5dobDdxg,Mundare Sausage House,4824 118 Avenue NW,Edmonton,T5W 1B4,4.0,7
dEiU3tt70NKYJaXoQq-L5w,Expert Shoe Clinic,10020 - 103 Avenue,Edmonton,T5J 0G8,5.0,9
sVtPuuA57YjHAHVmN2gzpA,Sanctuary Curio Shoppe,8118 Gateway Boulevard,Edmonton,T6E 4B1,3.0,21
_v8Ccd70N6uXw8muQeyhOA,Moxie's Grill & Bar,13551 St Albert Trail,Edmonton,T5L 5E7,3.5,52
QK0GG-MVxdAS9_i47ynpHw,Penningtons,320 Mayfield Common NW,Edmonton,T5P 4B3,2.5,8
q7K2v0hDZRQYHrQUfA8ylw,Silky Skin Laser & Esthetics Centre North,11830 111 Avenue NW- Suite 215,Edmonton,T5G 0E1,4.0,6
CyGxCUdTRGUPKGOgzC6Zug,Hudsons Canada's Pub,10307 Whyte Avenue,Edmonton,T6E 1Z9,3.5,54
eJFw8xWcqyAno0SclR4uzg,Madison's Grill,10053 Jasper Avenue NW,Edmonton,T5J 1S5,4.0,51
2fTfpN5SggLgW4LlzptMPg,Tzin Wine & Tapas,10115 104 Street Northwest,Edmonton,T5J 0Z9,4.5,116
Nemb9iLSuFgHsU6Rv8Y1Tg,A&W,Gateway Village- 2 Hebert Road,St Albert,T8N 5T8,3.0,8
HX4WDs6u5cYPe9WF30grvw,Laptop Depot,2119-99 St NW,Edmonton,T6N 1L4,2.0,7
l8uzbLGk9CLjElcWGyBZ0Q,Transcend Coffee - Ritchie Market,9570 76 Avenue NW- Ste 100,Edmonton,T6C 0K2,4.5,32
fgIAN_Y-hgPq6E-MPZk8vg,Panago Pizza,11152 Ellerslie Road SW,Edmonton,T6W 1A2,3.5,7
-AnhOOC-KXKNUT-ksYY9sw,Crème de la Crème,150 Chippewa Road- Unit 182,Sherwood Park,T8A 6A2,5.0,6
xgPbILU4BRWZqedqyRotPg,Chili's Texas Grill,10333 34th Avenue,Edmonton,T6J 6V1,3.5,26
RBI0TYx_VmVa_GhW1LZpuA,Dimaggio's Restaurant,,Sherwood Park,T8H 2W7,2.5,12
Pdot2s74d3Q5ok4ismy_dA,Two Small Men With Big Hearts,14630 128 Avenue NW- Suite 2B,Edmonton,T5L 3H7,2.0,33
3_o9lyZeZH6ykGqcIn7W5g,Pandora Concept Store at Kingsway Mall,171 Kingsway Mall,Edmonton,T5G 3A6,3.5,8
mGVZZXjH1SyLIuxpcNNIqw,Planet of the Vapes,5548 Calgary Trail NW,Edmonton,T6H 4K1,4.0,7
0EJ98tb5LDuFnR4lIPyCZw,Lube City,9904-35 Avenue,Edmonton,T6E 6B2,2.0,10
kB_937pEPUD5iwVY12SCbg,Shanghai 360,10025 102A Avenue NW- 3rd Floor,Edmonton,T5J,2.5,6
Xeqjpaa4FDt2gGSXdFUixQ,Purple Lotus Massage Therapy,11 Rowland Crescent- Unit 20,St. Albert,T8N 4B2,4.5,14
rT9Eg9GdrvBcxuG9TH_RQA,MEC South Edmonton Common,1624 99 Street NW,Edmonton,T6N 1N5,4.5,7
EbrK0e_Mv-B4bM_xL1BgkQ,Style America,West Edmonton Mall- 2902 - 8882 170th St NW,Edmonton,T5T 3J7,1.0,7
iapJoe3OzxeZqOGUJxnG3w,Fresh Healthy Cafe,4005 Clover Bar Road,Sherwood Park,T8H 0M4,3.5,8
aJpDjaMVhWZRLdwZtqQjEg,T.H.I.S. Place,10382 105 Street,Edmonton,T5J 1E6,4.5,24
Cr-uaPrfvG7tvqzLGAGErA,Kyoto Japanese Cuisine,8701 109 Street NW,Edmonton,T6G 2L5,3.5,58
Cgt1HwatFE0sscdH6SlijA,Ellerslie Gift & Garden,10330 Ellerslie Road SW,Edmonton,T6W 1A1,4.0,8
PJeoajci4MBVuyAOQet57g,Dover Kam Kitchen,120 Street- Suite 12704,Edmonton,T5E,3.0,9
AiSun1o4_QpHYvJIslG7og,Hive Fit Co,11505 106 Avenue NW,Edmonton,T5H 0R8,4.5,14
Ks9obHLqnNv6Z124L1nQmw,ThirtyTwo Dental,Baker Centre- 10025 106 Street- Suite 503,Edmonton,T5J 1G4,4.5,6
Ib_-XJW2CphnbIPKt9LYwg,Sherwood Kia,20 Broadway Boulevard,Sherwood Park,T8H 2A2,2.5,16
kCoXigHX9Fi5TUa_WZEcMg,Alberta Aviation Museum,11410 Kingsway NW,Edmonton,T5G 0X4,4.0,13
w--nMtFJ_aqM2OlG7z0ENg,124 Grand Market,124 108 Avenue,Edmonton,T6A 2T3,4.5,18
nfNOqJTJa-jAHxiyZSyY8g,Woody's RV World,14510 Mark Messier Trail NW,Edmonton,T6V 1H5,1.0,9
CLpTzz3h2o5i6NBq32ayyw,Ritualistics,15804 Stony Plain Rd,Edmonton,T5P 3Z6,3.5,11
SuSJ2BGPOSj_3NzqTIFgpw,Optiks International,1408 99 Street NW,Edmonton,T6N 0A8,3.0,5
h3801KOXLyOt8BAMa1V5HQ,A&W,222 Baseline Road,Sherwood Park,T8H 1S8,3.0,8
j0tHKpa2I2pj3uuxCmrgWw,Union Bank Inn,10053 Jasper Avenue NW,Edmonton,T5J 1S5,4.5,16
2iJlVnJ1_QaWH9OJpB7UoA,Trident Wholesale Pet Supplies,11228 163rd Street NW,Edmonton,T5M 1Y6,3.0,9
x5cmwApFCZRpa0waw9QAsw,Pitbull Tattoo and Body Piercing,10554 82 Avenue,Edmonton,T6E 2A4,3.0,35
4BVjCMSKc4eJGfJldPB_hA,Fired Up BBQ,6224 99 Street NW,Edmonton,T6E,3.5,53
CcomXcWCeUo4a8ZvR_UqwQ,Park Muffler Radiator Brakes & Tires,101 Seneca Road,Sherwood Park,T8A 4G6,2.5,7
151ujtgcbkGzAHUnctSg4w,Faculty Club,11435 Saskatchewan Drive,Edmonton,T6G 2G9,4.0,13
TI2EOpvaPbDEg1gz3GGqXA,Crystal BBQ,9645-101A Avenue,Edmonton,T5H 0C8,2.5,5
KZ5w1iPH1bSnf-wBEYgtQQ,Rice Bowl Deluxe,8910 149 Street NW,Edmonton,T5R 1B8,3.0,5
t23d7WBOMl6QBHdESZn8eA,Famous Donair,1080 Strathcona Drive,Sherwood Park,T8A 0Z7,3.5,13
uE05fHI5V2ZWi5Uo9-hwqQ,Burger Bar,10460 120 Street,Edmonton,T5K 0T2,2.5,5
Jio1vxVDY7qzNR5tVQj2lQ,Edmonton Oilers,10220 104 Avenue NW,Edmonton,T5J 4Y9,4.0,13
MtZrHienTC6EnKDEGu6AzA,Medium Rare Carnivore Club,6492 Cartmell Road SW,Edmonton,T6W 3L5,3.5,5
V9iUCGA1tfshCD6yN3bpAQ,New Balance Chiropractic Clinic,10540 102 Avenue NW,Edmonton,T5J 3P3,4.5,9
zenKskcUNSMgp8x2Q6pB2g,The Secret Garden,14920 45 Avenue NW,Edmonton,T6H 5T5,2.0,5
D4D4VkCjUmggqSs60d8jBg,Racks For Cars,5605 99 Street NW,Edmonton,T6E 3N8,2.0,7
WrR6yPcE2Pf-zFR5W9vPxg,Coco Fresh Tea and Juice,2371-8882 170 Street NW,Edmonton,T5T 3J7,4.0,10
ypp08ewHqQ-zmdTnG8qOAw,New Dragon Express,17743 98A Avenue NW,Edmonton,T5T 5W8,2.5,14
eUEGxSMAGHyPiZ-5rLbffg,Salon Blunt,11205 Jasper Avenue,Edmonton,T5K 0L5,4.0,23
cRJwnJDNfonhBWR93omzhA,Sand on Whyte,Gateway Boulevard NW,Edmonton,T6E 3X8,3.0,8
QMaXUlBsA0SLiYZOzDAjVQ,Nam Kitchen Express,9316 - 137 Avenue NW,Edmonton,T5E 6C1,4.0,13
KsblchMUwx6-ODmiqa8E2g,FedEx,4715 93 Avenue NW,Edmonton,T6B 2T6,1.5,5
3y8D2L-UXCtj_n9hRd7g1g,Yianni's Backyard,5524 Calgary Trail S,Edmonton,T6H 5P9,4.5,5
sU0eYd56_QArBBBlULxQaQ,Mayfield Veterinary Hospital,16808 106 Avenue NW,Edmonton,T5P 4Z3,5.0,8
xY4ulYsXEaglKc_aRGBOow,Wild West Shooting Centre,Phase IV West Edmonton Mall- 8882-170 St,Edmonton,T5T 4M2,4.0,13
raqvyecyOjJeL3bm10UmWA,Filthy McNasty's,10511A 82 Avenue NW- 2nd Level,Edmonton,T6E 2A3,3.5,24
-4qjiD8Rk5yNDHM6H06A2Q,Little Plumber Girl,10411 45th Street NW,Edmonton,T6A 1W8,5.0,6
Tu49CxyC5XEV8NaxdygWjQ,Millwoods Registry Services,6410 28 Avenue NW,Edmonton,T6L 6N3,2.0,13
7BWkkkgrN4rGo-IyOlookA,Below Hair Studio,203-16640 71 Street NW,Edmonton,T5Z 0N5,3.5,12
kASM7Kd3EULovKAJpkjT0A,Panda Flowers #22,9772 170th St,Edmonton,T5T 5L9,3.0,8
dcpWZ6Yk_S0HqTlNBi8jiA,The Woodrack Cafe,7603 - 109th Street- Suite 101,Edmonton,T6G 1C3,4.0,60
wdtfQj7pUzrjm6db133F6Q,Knoxville's Tavern,10736 Jasper Avenue,Edmonton,T5J 3J5,2.5,18
WzWBfCHurRUGpQuXkMnfow,Copa Cabana,8230 Gateway Boulevard,Edmonton,T6E,2.0,5
R1lzLuWy8hHSLXXC2JWEYg,Kaye Edmonton Clinic,11400 University Avenue,Edmonton,T6G 1Z1,3.0,6
gV89NXiZ3C0RNz1STGoWNQ,Fort Edmonton Park,7000 143 Street,Edmonton,T5J 2R7,4.5,48
hdVqM-QngiiLRaMOvwXglQ,Boba Island Bubble Tea,10588 100 street NW,Edmonton,T5H 2R6,4.0,25
M1t2pqGZmSIygY4880a_lQ,Tim Hortons,4251-4959 167 Avenue Nw,Edmonton,T5Y 3K8,2.0,6
-8k9XXq_rfeq47JnRlBD4Q,Vivint Smart Home Security - Edmonton,11203 103 Avenue NW- Unit 109,Edmonton,T5K 2E4,2.5,7
CXYlEb_u1Wf63-xGeVpo1g,Farm To Fork Eatery,2755 Broadmoor Boulevard- Suite 148,Sherwood Park,T8H 0A3,3.5,10
6FD2fsr8LR4Xxl6TX4hT9w,Le Chateau,109 Street and Princess Elizabeth Avenue NW- Unit 268,Edmonton,T5G 3A6,3.0,8
F87os-6oNyUAEeGxQJKFkw,McLeod Tavern,10009 101 Avenue N,Edmonton,T5H,2.0,13
dEpvByPMG0BZ3E9JOem0NQ,Boston Pizza,6210 50 Street,Beaumont,T4X 0B6,3.0,10
3M_n0XoauobKYuaa-jwljw,Miniso,9940 137 Avenue NW- Suite 107,Edmonton,T5E 6W1,4.0,11
jq7utQjJ6g0k2PLNGvWPqw,91.7 The Bounce,5915 Gateway Boulevard,Edmonton,T6H 2H3,1.5,6
7kko-9WTh53VZ_PmrffrSQ,Tasty Tom's,9965 82 Avenue NW,Edmonton,T6E 1Z1,4.0,67
eFOexSu3Ywon4h8NtTOpKA,Thai Orchid Restaurant,4005 Gateway Boulevard NW,Edmonton,T6J 5H2,4.0,41
1nmZ8Aw360LPWRbYowp9cw,Sobeys,13504 Victoria Trail NW,Edmonton,T5A 5B9,3.5,7
g3O9Y1jknYOvV7zwgIr54g,Cobs Bread,11956 104 Avenue NW,Edmonton,T5K 0G6,4.0,8
txrwY6N37_uS29LEn8J5mQ,Future Shop,9560 170 St.,Edmonton,T5T 5R6,3.0,5
lYvKFVlsglqffrrhVUvZrQ,ESM Fine Cakes and Pastries,9261 34 Avenue- Suite 19,Edmonton,T6E 5T5,4.5,12
5BWh2ViME8lAm1G1SDVtSg,The Red Piano,8882 170th Street- Suite 8882,Edmonton,T5T 4M2,3.0,73
m84BCUA6aDi03mRyufHYBw,Harlow Pest & Sanitation Control,,Edmonton,,2.5,6
TrBIfq2XPO854CcnaOULIw,North 53,10240 124 Street,Edmonton,T5N 3W6,3.5,72
cOusUxMKRtYcsMS7pcCIKg,Southtown Chrysler,4404 66 Street,Edmonton,T6K 4E7,2.0,43
ZMFi2e9B3TmKjCqs-TEphA,West Oliver Medical Clinic,10538 124 St NW,Edmonton,T5N 1R9,2.5,5
3gTZAOmML02T1L5gYIHYqQ,Kabsa  The Ultimate Cuisine,5932 153 Avenue NW,Edmonton,T5Y 2W1,4.0,24
Ph3US7fhAc3a4P885ucdJg,Armour Registries & Insurance,5750 75 Street NW,Edmonton,T6E 5X6,3.5,5
jDmMtu8eCQmghcZlIHCGWw,Once Upon A Child,3-201 Kaska Road,Sherwood Park,T8A 2J6,4.0,8
PezAzNrbeJjY-7Ph8Cq7Mg,Forever Young Windermere,5540 Windermere Boulevard- Unit 5564,Edmonton,T6W 2Z8,4.0,19
DYJdxkfsqe2mSYFdKAIkBA,Michaels,13703 42nd St Nw,Edmonton,T5Y 3E1,2.5,7
dhKHcuHvwgB5qAAYencsFw,Kings Garden Noodle House,5657 Riverbend Road NW,Edmonton,T6H 5K4,3.0,15
5gFINQunzrgFOxI20Dr5Uw,Chuck E. Cheese's,14245 137th Avenue NW,Edmonton,T5L 5E8,3.0,10
zOzEoK5JvJCA244kYR7Prg,The Bro’Kin Yolk,1641 102 Street NW,Edmonton,T6N 0B1,4.5,8
WYyLlIICHqqESzG82avKGQ,Yuk Yuk's Comedy Club in the Century Casino & Hotel,13103 Fort Road NW,Edmonton,T5A 1C3,3.5,8
a24bmNPatJARqO1H4QnWgQ,Blue Quill Chinese Food,2821 116 Street NW,Edmonton,T6J 4R6,3.0,26
Hcn6gI1MLg4tUJ9SfdUVqg,Duke of Argyll Pub,7230 Argyll Road NW,Edmonton,T6C 4A6,3.5,15
kOfva5UTcXrd-11qM1LhLA,Wyld Archery,14805 Yellowhead Trail,Edmonton,T5L 3C4,4.5,37
61YkH57gZYrRk1R5-P-AxA,Kebab Express,10355 University Avenue NW,Edmonton,T6E 4P4,2.0,5
EcJLjBEd0pvR8NLcD6VOHQ,The UPS Store,10654 - 82nd Ave,Edmonton,T6E 2A7,2.0,7
ErFFv3yCa9NnJ_x0hBPCtg,New Asian Village Express,927 Southgate Centre,Edmonton,T6H 3G4,4.0,8
AgN2wYfkqbHGvWN3CNdydA,Buster's Pizza & Donair,319 Allard Boulevard SW,Edmonton,T6W 1A8,3.5,6
CJzVNnmSG-f8zVCBJDam8g,Gangnam Street Food,1 Londenderry Mall NW- Unit FC05,Edmonton,T5C 3C8,4.0,5
TzYF_QvvWrVOAzEiLJK-Tw,Make It,7515 118th Avenue NW,Edmonton,T8N 3X4,4.0,12
1bNU0VL7S7_-gVgLJAy9gQ,Highland Moving & Storage,14490 157th Avenue NW,Edmonton,T6V 0K8,3.0,14
n-WNHzXpw4-2CrU-AF20Cw,Hughes Gas And Car Wash,6005 99 Street,Edmonton,T6E 3P2,2.5,9
Im5XYJ8jP3s85Lna48HcWA,Pizza 73,3520 137 Avenue NW,Edmonton,T5Y 1Y7,1.0,6
Iw7uhUS9D5gXESPr_DVHaA,Belgravia Hub,7609 115 Street  NW,Edmonton,T6G 0M2,4.0,27
HcqkA6NnhzKrycukWX_AEA,Metro Moving,,Edmonton,T6E 6A6,2.0,5
aiGR53whbF3kwZjU-CdNpg,NOLA,124 Street NW- Unit 11802,Edmonton,T5L 0M5,3.5,9
IY4vld3Ko4Ae7zf4cwXGYQ,EB Games,5015 111 Street NW- Unit 350,Edmonton,T6H 3G4,3.0,7
0IG9w6YCkh-z5pnfSip6Nw,Tasty Noodle,3203 Calgary Trail,Edmonton,T6J 5X8,3.5,64
Dd_FDQPmNYWjj2NweX-3jA,Maria's Place,11739 83 Street NW,Edmonton,T5B 2Z1,4.0,5
j125DCJE1t353ZxXL8adsA,Tea Cottage,10588 100 Street NW,Edmonton,T5H 2R6,4.0,5
UBJ99FRrRQSEypU5CtjGBw,Mirama Dining & Lounge,9431 Jasper Ave NW,Edmonton,T5H 3T8,3.0,9
AW01ip2GI0vrGaTamjs3eg,Edmonton South Animal Hospital & Spay and Neuter Centre,3823 99 Street NW,Edmonton,T6E 6J1,3.0,12
ntAff-7g-oyX71XHuN8UCw,Ericksen Nissan,10982-101 St,Edmonton,T5H 2S8,3.0,7
UwAqOh7QDJz9m9scQxH9iA,Panago Pizza,114- 6655 - 178th Street,Edmonton,T5T 4J5,4.5,6
lck-EHpJkPWQyUpuCBcVdw,Edmonton Ghost Tours,,Edmonton,T6E 5C3,5.0,8
0CLCzdedGT2DPjkYM52Tqg,Brewsters Brewing Company & Restaurant,15820 87th Avenue NW,Edmonton,T5R 5W9,3.5,37
pzOUpVXGZEA1yaNdTc9eCQ,All 4 Dance,11054-156 Street NW,Edmonton,T5P 4M8,2.5,5
qy4L5mVOJbeLHtAkRcF1mQ,Kinsmen Sports Centre,9100 Walterdale Hill NW,Edmonton,T6E 2V3,4.0,33
oR3iGLhTW3UiABNEhmMcUg,Taco Bell,4950 Av 101 No,Edmonton,T6A 3Y1,1.5,6
kJEb1cJuLPRfletVHdCgPw,Alberta Aesthetics and Laser Centre,3120 Parsons Road NW,Edmonton,T6N 1L6,1.0,5
RY8I-VP7g-BMfGOSMA2lgg,Smitty's Family Restaurant,66 Street NW- Suite 2331,Edmonton,T6K 4B4,3.0,5
W15EwFMmF4I-YPV_HlevYA,Joeys Urban,39-2020 Sherwood Drive,Sherwood Park,T8A 3H9,4.5,7
Pb7HEqeY26cr4nw5lkuhUw,Sherwood Park Chevrolet,500 Premier Way,Sherwood Park,T8H 0R5,3.5,6
sjQyfgj4wUeVIRY0jYUOFg,Polos Social Lounge,950 Emerald Drive,Sherwood Park,T8H 0W6,3.0,21
97LIZbtUEkV_P4RKQ6KKGg,New Image Cosmetic & Medical Centre,4212 Gateway Boulevard NW- Suite 203,Edmonton,T6J 7K1,4.0,8
y6Yh9ezGQIRSA7Vg7yysUA,Vo's Nails,8882 170 St NW,Edmonton,T5T 4J2,1.5,8
TTUsGHhMch_hW03be2H0oA,Acajutla,11302 107 Ave NW,Edmonton,T5H 0Y3,3.5,42
y1YeZfdqNAhPFfJDiXdnDA,Telus World of Science,11211 142 Street NW,Edmonton,T5M 4A1,4.0,66
b4DcNSlKBGIoOmX7PLxmWw,Wildflower Grill,10009 107 Street NW,Edmonton,T5J 1J1,4.0,105
WqxxEbwfz1xXn89jYBuQUQ,Burger Baron,7920 118 Avenue NW,Edmonton,T5B 0R6,4.5,11
9vCo0ZKDJ5m4P13xU7iScw,Bonnie Doon Bowling Lanes,8330  82 Avenue,Edmonton,T6C 0Y6,3.5,21
axFtlPrcWL_sh9onJGNo1w,Atlas Granite,14225 Yellowhead Trail,Edmonton,T5L 3C4,2.0,8
pnXfh95NclVKgDl0dLcRKg,Endeavour Brewing Company,215 Carnegie Drive- Suite 4A,St. Albert,T8N 5B1,4.5,9
S_iNJAWUe4vYDjiW1KqCIA,WATCH IT! - Kingsway,Kingsway Mall- Ste 165 Kingsway Mall,Edmonton,T5G 3A6,3.5,6
ASJH8IDBdX_f5yOX0XEfYA,Sam's Pizza and Donair,18236 89 Avenue NW,Edmonton,T5T 2K6,4.5,19
MrD02BxNjCKenZT5CJ-xiQ,Heaven Essence Day Spa,15 Circle Drive- Suite 123,St Albert,T8N 3Y7,5.0,7
6sAKnZOYEKFsc1Bd2I_jFw,JD Nail & Spa,Suite 120- 15 Perron Street,St Albert,T8N 1E4,1.5,10
x8LDgZ5FZ2LXE56zonNlRQ,Mimosa Day Spa and Wellness,17 Boudreau Road- Unit 30,St Albert,T8N 6K3,3.5,9
yDriUh65Wpx1HnTmXln9nw,Subway,LongSt Shopping Centre- 11323 104th Ave,Edmonton,T5K 2S1,3.0,9
f8_kAJqns8gWV6fpOnaSDQ,Total Focus Northgate and Dry Eye Clinic,9499 137 Avenue NW- Suite 1100,Edmonton,T5E 5R8,3.5,5
kGY6SZKnu9g-yWCpEGZs6w,Sturgeon Valley Athletic Club,205A Carnegie Drive,St. Albert,T8N 5B2,4.0,7
ew6lDkRqYgXp7wrrMjTzRg,B Perfect Nails,140 Street Albert Road,St Albert,T8N 7C8,2.0,8
1NJTnfFfLYnt8-p3iUoGOg,Starbucks,17004 90th Avenue NW,Edmonton,T5T 1L6,4.0,5
jUm6A52WSZnHA46b3HrJwg,The Sweet Spot,8410 109 St NW,Edmonton,T6G 1E2,4.0,9
VqqDJmyKRKwo5e26JxLCrw,High Park Barber & Salon,10913 156 Street,Edmonton,T5P 2S7,5.0,5
RUCsFlBuA80Wc9PmYzmayQ,gravitypope Tailored Goods Edmonton,10414 82 Avenue NW,Edmonton,T6E 2A2,4.0,9
EyoGUM01HS9kemQcnTRLIw,Sofra Restaurant,10345 106 Street NW- Suite 108,Edmonton,T5J 1H8,4.5,75
B3JF06ctShiYJeg1FyJ5jA,Remedy Cafe,8631 109 St NW,Edmonton,T6G 1E8,3.5,127
fdjzXyPw1Zt2avRokULJOw,Doan's Restaurant,10130 107 Street NW,Edmonton,T5J 1J4,3.5,47
rZIoDcsE7vsneLXRzkXlfQ,Tim Hortons,275 Carnegie Drive,St Albert,T8N 1M9,2.0,6
WSllV7Nl13wskOFWjh-BbA,Bountiful Farmers Market,3696 97 Street,Edmonton,T6E 5S8,4.5,16
whzkbvSdu3-Muk2Vcr_V-g,Champion Auto Glass,12003 149 Street NW,Edmonton,T5L 2J2,5.0,5
c7h5S5Oqz3wq3KufxUlmtQ,Crepe Works,8882 170 Street,Edmonton,T5T 3J7,2.5,14
b-4xNydyGmdv2bGFOHTgdw,Garden Bakery,10019 106 Avenue NW,Edmonton,T5H 0N8,3.5,45
YaBlh3El6NiMeKcFYp8ejg,Pacesetter Ski Shoppes,10054 167 Street NW,Edmonton,T5P 3W4,4.0,5
04mQu98wm9BbbCxWEeL4QA,J & M Appliances,147 Carlson Close NW,Edmonton,T6R 2J7,3.5,27
oi1VVRgFT9j3H6FnJ0qAnA,Dérmica MedEsthetics,10518 82 Avenue NW,Edmonton,T6E 2A4,3.5,13
2pND51XvUbWrvUa4gcCr2A,Whitemud Crossing Animal Hospital,4211 106 Street NW- Suite110,Edmonton,T6J 6L7,5.0,9
YARjtcQLeoPR7hKz82xXcg,Ong Hanoi Fried Chicken,15 Perron Street,St. Albert,T8N 1E5,4.5,8
JI3-QZwm6vihIFBcekgyaA,Matrix Hotel,10640 100 Avenue,Edmonton,T5J 3N8,4.0,55
9Udgv_7h8oj6NXq5hQeJow,Old Beverly Cafe In & Out,3908 118 Avenue,Edmonton,T5W 0Z9,4.0,9
hmoyJnGSuBaZZObtssvU0w,Big Al's House Of Blues,12402 118 Avenue,Edmonton,T5L 2K4,4.0,7
Iur3GHkwb4mJfrPhy_-48g,Cocoa's Restaurant & Lounge,10222 102 Street NW,Edmonton,T5J 4C5,2.5,10
MZ0kXra-46rxI2R9RX1oaw,Papa Murphy's Take 'N' Bake Pizza,2366 24 Street,Edmonton,T6T 0G6,4.5,8
Yx1_uMRVnCYcksXEB0UCsg,Ericksen Infiniti,17616-111 Ave,Edmonton,T5S 0A2,2.0,13
