user_id,name,review_count,yelping_since,useful,funny,cool,fans,average_stars
67HwuY1mtttvvnqn9tHU0Q,Jamie,638,2009-09-11 15:55:06,655,174,305,38,4.11
2T8ZGt1RsCrcJEZcRfsylg,Nicole,729,2009-09-23 19:48:14,1770,481,572,12,3.44
A9JbPo1a_ljkqgQ0zhuqJg,Ben,23,2010-01-19 00:47:05,21,6,13,3,4.0
NoB_mtbwrz4aZ2-z5Tpfdg,Robin,180,2008-09-20 01:34:33,641,231,342,13,3.6
_9Nr_RrFuqmQ7n7vfkXRfw,Pamella,37,2010-08-04 18:58:28,146,56,82,4,4.55
U4INQZOPSUaj8hMjLlZ3KA,Michael,5061,2008-01-31 02:55:30,31803,14807,23493,1238,3.94
lXKjU1d7uy4aG0c5dNTATw,Mika,2053,2006-03-01 20:01:28,3560,2200,2804,141,3.82
WDUUb4CRat6JQ9MaNKh9wA,Colleen,295,2008-08-19 17:37:48,353,105,110,27,3.9
BLrrlNdaU3fOXpcbcbE4Aw,Andrew,523,2006-11-05 05:07:46,979,285,386,24,3.8
Lmao9-TJYor1KxYuX4AwHA,Rheanna,168,2010-07-24 22:37:04,807,677,535,19,3.84
7lQr595yf07nYmgQ-DChgA,Melannie,23,2011-01-12 03:54:19,86,18,24,1,4.2
lAW03ccfMEuRZiDqvVgc0w,Kristin,1578,2011-06-03 03:06:54,5067,1469,2716,159,4.03
WQhgAg8ovchnA1FZCpbyWA,Michael,49,2010-11-15 07:00:54,185,58,94,9,4.31
vcCmqvL21Pf0Y15r25_HQA,Dave,464,2008-03-11 00:27:11,571,191,348,27,4.26
EBDWVh0sE3HgiqgMuXBsuQ,Steve,184,2010-01-31 06:01:56,320,104,85,12,3.6
lGC2ztwMSjTl5jRNG6IHWg,Kenny,223,2008-09-02 04:26:29,232,89,85,3,3.55
758g6NGLp9deCbvowz62Ww,Jennifer,715,2008-09-13 19:41:53,1992,698,680,39,3.66
ki7HkJ9iflOy17gZZfHxPA,Jaime,521,2009-06-30 15:10:08,510,98,218,25,4.12
C_HBfaCOSuia7sRULEifxA,Nina,375,2010-08-11 17:38:09,1981,1025,1477,58,3.92
-hUgrj7Lzir3yLUYrMYQ4g,Joe,218,2010-03-02 13:04:46,519,277,280,14,3.59
tAtblebDRTiB9TkAxupncQ,Ivan,92,2010-05-08 21:07:10,164,47,34,7,3.35
QNvibXA1_DAqpxxQgRLpyQ,Janice,15,2010-08-16 06:36:06,36,3,17,2,4.3
s2ssYMg-ozUOE1qGb6Pkng,Adam,63,2008-11-18 22:08:02,220,38,85,5,3.5700000000000003
rWGAfSAmh9rfemvGco_0Rg,Anthony,15,2009-09-09 01:27:39,22,3,3,5,4.18
r3QexFIhBXBT99canAgVEg,Paula,1130,2008-09-15 14:53:26,2260,346,737,53,3.68
mcpZ9ixkUmwJ9ZtsqRiqCA,Ryan,321,2008-10-09 21:52:45,570,274,367,13,4.24
JW_742Kc_BeN-tvACR88ew,christy,232,2006-09-11 02:04:10,402,114,266,11,3.91
j5NQnF06PW3Kyd31O5_BYw,Richard,14,2009-12-22 20:44:48,21,2,5,4,4.07
Eg1T--knapihoR2GV-Dj_w,Christopher,457,2008-07-13 23:32:10,1022,455,499,52,3.65
UqVnFtX7ORbDhMW6Pd77Jw,Linda,149,2010-08-02 16:33:42,386,61,101,4,3.92
gby4gdTt11vz5jQz5OaDoA,Penguin,800,2008-12-30 19:04:41,783,284,282,17,3.5700000000000003
k6xkAxTP5ettRDhmtxUa6Q,Allan,57,2008-12-14 11:02:39,140,39,84,6,4.33
VkYI98oGxuns9HhRkYSQpQ,Eric,55,2011-06-08 17:25:50,100,17,42,2,3.54
E-F49aokwOCxGTf3cp_MXw,Marianne,87,2008-12-30 04:39:53,242,102,131,11,4.48
PY32OfXnAWbYX6ba9Ov3uA,Chris,35,2009-10-11 20:03:35,56,17,24,0,4.06
TzSlEtNV-OhgAdpy-Qd4yA,Kerri,224,2008-09-16 09:41:10,712,314,283,8,3.97
YgavGxfAdjhkkbwlAY_9ZQ,Michelle,109,2010-02-16 03:10:10,424,111,238,11,3.63
WQmSjrmuuc3xLCX7Vk9UnA,Sheri,255,2008-10-19 18:21:22,1288,646,834,34,3.82
-khJWv_QRXRzj4oFta6pQQ,Garland,24,2011-06-03 02:50:00,39,14,12,1,3.23
EoaSBAHVwz3-dj_oN6RDhQ,Sherine,49,2012-08-17 01:07:00,33,4,22,0,3.65
tq9Zl18Ml5gwyMRj7ojpGw,Johwanna,9,2008-12-23 21:47:23,16,3,3,3,4.22
Txw2jX2lOtayJOiMvvTW8A,Ferris,124,2010-12-19 06:44:19,313,61,94,16,3.33
1JGHVYRp2xFIldofSfKRRQ,James,5,2010-08-13 21:40:37,13,1,5,0,4.4
mzL0zHFGyd9866OUljq49g,Vinny,802,2009-09-03 14:28:54,3085,1153,2251,96,4.06
umtgodwJQ4e7MUxtZ4MEJw,Matt,76,2011-06-29 22:12:10,181,59,54,12,3.29
mpm9olv35gqQePUdQvK62g,Sarah,428,2012-07-21 19:06:15,504,145,177,39,3.68
gXMCDe9Fex4mgmlk-WZc7Q,Kayley,258,2009-12-03 14:28:45,813,250,259,32,4.07
G3h8pIclwUbuu3itJqF7ug,Jennie,585,2012-07-06 17:48:18,2808,1383,2031,200,4.11
QIRkA1xNLmzTlCOnq5zpWw,André,161,2010-04-22 03:30:33,313,79,94,10,3.25
TfupksZpPyOgD3gqaSlqgg,Ron,125,2009-06-08 20:22:58,151,29,40,5,4.38
my4q3Sy6Ei45V58N2l8VGw,Joleen,1266,2009-06-08 17:08:48,2358,1042,1674,97,4.15
1wE7oHKgNOLPM0QWS3jm9w,Ed,2288,2010-04-25 01:41:17,9830,4388,8335,143,3.97
4qWYQFByYk7GXaoKKX8EHQ,Adam,223,2011-07-06 17:56:49,497,223,175,7,3.47
Z4NuBmikC8rJDCAVdxdXaQ,Dwayne,79,2012-05-19 17:50:06,140,21,48,3,3.99
dsu43n2DOR_pB07P1sOOZg,Gina,481,2008-06-19 18:26:58,1351,805,753,89,3.53
2XPFAxICeBIAZC74z5qAEw,Jacqueline,281,2009-12-02 02:39:58,793,217,278,16,3.86
4QFfTO_tKOZYFE-7zTPjbg,Sarah,11,2010-11-17 22:40:54,40,6,19,0,4.27
i4kbT_mM59WjhQ5wfizu8g,Yozi,28,2010-03-20 05:54:43,148,63,49,1,3.71
22Y8hc4NYWPa2D6ffodddg,Shawn,1001,2012-07-25 20:15:50,1191,329,647,46,3.95
6wocuUpx9sq87Mqfvx3bZg,Deniella,25,2010-09-23 19:15:19,95,59,51,4,3.3
uDz0QyzzpuVP_CKIonhS4Q,Angela,45,2011-04-18 06:06:20,155,50,69,8,3.91
UuBW51xKZqbmm6J-KKIp3w,Tope,82,2008-10-17 15:56:02,114,111,61,1,3.83
S9zMHMOyCZCmmZW1bgWE-A,Arc,505,2010-11-14 03:16:29,1412,637,790,32,3.74
jdmL0VpL2kIQisS97X_lJg,Ana Marie,14,2011-09-12 16:30:33,35,5,7,0,3.53
DX9kodv_UQ8As3XwqtThQg,Andrew,80,2011-03-05 09:45:06,289,115,208,3,3.74
2zucu9wODZCVN_cMKlN6DA,Matt,23,2011-06-28 18:46:50,92,9,10,1,3.7
3BAY17m5WIJZE_sZfJZqHA,M,18,2010-11-28 02:18:41,42,1,12,0,3.79
XkRLAckY23PFiEf-gPy8Ww,Cat,31,2010-04-22 19:30:38,70,11,16,1,3.15
wfi0T-xq_P5sKQvwQitlYg,Violet,1193,2011-08-21 14:35:51,2196,819,1090,44,3.59
wU_hy7rSCc_ssq0HNzpRCg,Linh,39,2011-05-29 20:14:22,42,19,14,1,3.5
xhtWQRWNgXHp2GeLLrj9Pw,Kent,142,2008-12-19 01:11:24,330,41,153,8,3.89
ntLOxCEnWYT4nbqm8s2OEA,Kenny,116,2010-11-26 05:41:39,286,156,153,21,3.92
K2Efx0k-ate_qfvuRbP5Yw,Dave,154,2011-05-20 20:15:32,532,97,259,2,3.67
2980OkLYJOA6KIaC1-82TQ,Chukwuma,274,2009-08-25 00:02:39,363,211,124,4,3.12
FOfvCOaFZVOa_GIsViSPSA,Brandy,64,2010-07-07 15:22:59,118,28,61,1,3.81
rN4RItq4xONM-cjgSfbvDQ,Kendall,1117,2012-06-07 14:22:23,15909,4754,11476,831,4.26
bcCHgqnuRQuOchZQF7NGeQ,Mo,204,2010-03-11 02:39:15,428,103,109,4,3.28
T4RELLhPM1fkqT4ZNh77pQ,Harriet,13,2010-08-07 03:02:04,23,4,7,1,4.43
-cefE54dkMI9cJ8kWudebg,Tess,150,2011-01-14 03:15:40,354,79,188,10,3.85
O9NWKYmL0wGDL9Cpi6KfYQ,Rose-marie,103,2011-03-27 23:36:18,240,64,81,7,3.58
ZpUI9ze0YlA6nMSHwx3ZYQ,Derek,2589,2006-12-05 17:18:51,37768,19912,28968,671,3.64
2LLDDR6AJWBSvtTsXgKu7A,Patricia,85,2009-06-16 04:58:51,367,125,70,9,3.31
xZgbvWE-fF0QEv3k8FwRuw,Rafael,298,2008-08-04 21:02:31,854,253,321,15,3.46
zp_cjYw9hrWH-o84OeEXmQ,Lois,531,2008-02-28 18:59:17,1036,323,593,64,4.21
Zsucq1c-sjuGxs5jZuUEEg,Rachel,253,2010-02-25 03:04:03,817,221,365,14,3.73
O2bDLdyNdbBwPabAbblwZA,Andrew,178,2010-12-13 05:38:48,532,220,289,13,3.79
XLmCXdAuKhm105fOIc71hw,Sandy,568,2007-10-29 00:49:07,922,257,346,46,3.67
Xwnf20FKuikiHcSpcEbpKQ,Kenneth,6766,2011-06-10 03:52:07,8348,3624,5062,285,3.32
vHc-UrI9yfL_pnnc6nJtyQ,Michael,1135,2010-10-04 00:51:38,24381,6808,18391,1251,4.43
7kvWyj2W7DLSfLqt0ypBVQ,Dan,166,2011-02-15 15:41:11,565,403,328,23,3.93
T40u1FJXOOYs3rmOnwGm6A,Kiera,189,2011-07-10 15:38:53,233,58,91,6,3.73
WPVaxI9MQpaeoikOozY2Dg,Chris,157,2011-08-25 22:51:48,201,48,159,10,4.75
t0rFBojfJ3VHp3cJ5jiyPA,Jessica,208,2009-09-14 01:56:14,654,125,246,18,3.79
iquCZU8tjmRQrnDgci5YpQ,Cori,478,2010-07-19 21:48:59,711,230,216,33,3.94
X41DpSolOsayZaHj9jdWKw,Adam,96,2009-02-02 20:35:00,248,79,125,18,3.88
XA5-Xgc90D1Zf9z2dcGOzQ,Nancy,19,2008-07-08 01:16:35,20,13,2,0,2.9
8ZJW1JgnY5B55ZfMDNA0gg,Daniel,6,2011-03-16 23:46:20,12,3,8,0,4.83
Irp8rJJybLwpvAoLkOcFEQ,Amanda,182,2012-03-04 00:35:00,521,98,336,12,4.25
NrgJ-4n6ZtSm4wMLroEayA,Joanna,128,2010-09-16 05:32:25,342,92,167,14,3.7
XNrPhwfI6RQWvh1c7BMEfw,Oliver,30,2012-02-19 16:31:54,51,8,28,1,4.03
Uaik2YjuMDBoJyHixl3AZA,Martin,9,2011-06-22 13:19:53,10,1,9,1,4.11
VvJzTulR17HDj7PDyc789g,Emily,116,2013-04-15 23:27:11,294,119,117,3,3.62
nghLUJFXJmUkqS55vSHyPg,Marc,314,2008-06-16 14:27:34,400,77,100,8,3.6
9nafgUuDMI2wZjul_-vXCw,Jessica,125,2009-06-28 08:19:35,469,131,173,7,3.95
w2Rfz-EcgVEZcdY52KqL2w,Phil,77,2011-06-30 04:54:55,280,130,158,8,3.72
IlJx9kYbg7BGrQ14ZVJayw,Brock,11,2012-06-29 22:35:57,6,1,0,0,3.73
YgE2YZ-PZTrBYyzZ8sAQSg,Rob,57,2011-01-15 02:27:34,178,26,69,6,3.96
Ouz8aaMQOuGlXs4LShBQQQ,Yunn,191,2009-09-09 04:02:31,260,37,105,16,3.5
4UU2qHHNFDlrktj78O354Q,Scrapbook,34,2010-07-18 04:02:06,26,6,16,1,3.65
yoT5mQ0EeB40AAMi4ZIyTw,Leanne,376,2009-03-02 18:36:00,470,153,213,13,3.7
NZDyr0_Kqdx5QmWfa3PxoQ,Carmen,129,2011-06-28 22:49:44,526,218,172,23,3.78
jnxgeymWjNw0uXe_4qQy4g,Dean,385,2011-11-14 04:30:29,707,113,290,28,3.9
HuB6-5n480bnhtV6SHGUgQ,Wesley,403,2011-05-23 18:46:05,645,149,146,13,3.59
ikIbEFVQ-vGw_T0j0KiWbQ,Ray,39,2010-11-10 03:33:30,24,2,13,1,4.85
vi0t612Xq4x5HDbZU_HfHQ,Brittney,39,2010-10-24 19:36:51,124,51,69,13,3.76
-g8nkLX6PGNDSgoy4YzjFA,Keith,60,2011-11-17 02:55:22,108,23,27,1,3.41
zb_jIartTR9Yhdgk6VIsDA,Sheila,111,2011-02-11 15:41:49,235,53,81,3,3.75
DUDhdQABPrH1Wk7Mx57Olw,Angela,25,2011-03-20 17:21:01,78,5,11,3,3.93
flcM4pfIr63a9TbwpY9Qdw,Corey,87,2012-03-13 16:32:38,221,112,112,11,3.87
MHv9FRUZSZzqxJNUhIM7Cg,Sarah,160,2011-04-29 18:34:03,189,42,94,10,3.92
5-XjAgO8Hc7qzYwQhQydkA,Punkrockg,26,2011-10-11 23:23:09,110,10,13,2,4.0
kOdDOvhde6T17Ji1YVy6Mg,Fiona,11,2010-08-24 03:33:31,19,4,10,0,4.5
Uts3hEsymbEN4JiJvmCqUQ,J,121,2010-04-25 23:49:40,215,63,32,3,2.59
zPNrEv30Piqoig3YG4en2g,DineoutGal,884,2009-04-30 01:45:24,2810,560,859,61,3.54
Pn84Dl915kwIFIyfty5_cA,Babak,19,2008-08-26 16:59:23,15,8,10,1,4.4
GTut-PcJ02WXqOtbwHMLxg,Byron,6,2010-12-20 21:34:44,30,13,8,0,2.83
7oTJxm4VE7PnF9dpj6xtMw,John,159,2011-03-23 02:41:09,573,137,173,5,3.94
l9be6lRlJhumEM8ruMMJ7g,Jeanette,401,2008-09-15 06:18:31,1076,480,431,37,3.82
HLZy5Iun2vQdL1Qjj35iYQ,Sarah Louise,263,2010-10-31 06:19:25,1047,480,435,56,3.77
jz9BLghkpasntl0ZLfz7kw,Jim,8,2011-06-05 23:19:09,7,0,3,0,4.0
To0jFSrHSn6gXUttp7gUTA,Sara,24,2009-02-17 05:14:22,39,6,13,2,3.58
WKqfJbGAEn9DL9GIgPLnag,Steven,23,2012-02-23 20:45:46,39,17,24,1,4.12
7qFH1RkPivVRcwxLwhyixg,Lea,171,2011-04-15 15:42:08,518,124,216,16,3.91
ww6zlw5pXPVxthpjNJMtsg,Chi-Kit,100,2010-04-29 05:21:38,84,20,23,3,3.8
67aULCVntsox4QX7veUOKQ,Morris,21,2011-08-02 15:45:17,38,8,7,3,3.59
pqlhSMKdopMzWfyELJ1T5w,Gord,5,2011-03-23 19:20:57,15,4,8,1,4.6
sTP0_RvfdtpXhnJmljd41w,Crystal,11,2011-03-23 02:13:27,26,3,9,0,3.25
B9dUH2p3IYWu3tJsQjtwnQ,Mark,46,2010-07-12 06:08:08,74,6,6,2,3.42
cWqtmDX1K3Ph80jYXlGISA,Sarah,86,2011-03-20 08:17:25,98,16,32,4,3.81
jm903ubGUlYwOLfFMqJbmg,Ken,6,2010-12-01 05:16:23,4,0,3,0,3.5
sjMyKWZx0JpvJlPYeAhHcA,Christopher,6,2011-05-21 18:55:41,3,1,2,0,4.33
8Ldrd41aJRcPrwIJzuAojg,Marissa,25,2012-06-22 19:07:12,75,28,31,8,3.84
cRij9215tfbhiLdHmcdUWg,Jason,462,2008-11-20 12:59:37,1159,368,759,37,4.02
8EZUJAK9DJTESgkzx74l_w,Kas,199,2008-09-30 22:20:26,260,85,136,11,3.91
ip6IbczHeYOT9QVLaJVXkg,Kelley,106,2010-12-18 23:40:59,158,30,61,7,3.85
lzBBxfeZnvgFm5xjVqWQ6A,Trey,112,2009-12-30 05:56:18,206,55,61,4,3.74
MSdlZkMFdqCnuuu7JHBHCw,David,32,2009-05-21 04:22:45,80,3,28,1,3.84
D0ZuMeONOapIj2o8JQnEQg,Benjamin,737,2010-02-15 17:31:03,2352,1224,1584,47,3.73
GQNYh73w0asF1B2cIKxz3w,Miranda,16,2012-08-06 22:54:02,14,2,4,1,4.06
ic8nO152kbB8OxCr3ApEaA,Diana,43,2012-07-20 22:17:33,86,23,25,2,3.93
i9iFrmFatYpwAziTh5NvsA,Jade,183,2007-08-09 00:01:13,148,46,111,6,4.02
QHor74ePSx5jZlyNqb_mow,Jason,166,2009-01-26 07:26:52,495,151,181,10,3.74
UAHMyMc1ackEePFGlTEh9A,John,17,2011-02-25 01:31:11,46,11,15,2,3.33
KQy1M8kkJKhg0546UGG88w,Alain,30,2010-08-09 17:06:20,76,18,15,4,3.58
7BHpOikl1idoX_lJpnXpDg,Duncan,2,2009-12-13 22:23:57,1,2,1,0,4.0
ud4I38ETpB9IIFokDtxu0A,Ken,14,2011-10-15 06:02:34,22,3,8,3,3.93
hRWYO7jcmFDCWDrfPyG0kA,Ruth,11,2010-12-07 18:59:55,32,0,16,3,4.0
-dV2GaHNJHhDYbrmu48ZDQ,Chad,338,2008-11-10 21:16:12,538,146,152,16,3.83
WHrUF4ZJEnp7-oImlILe7A,Konstantin,109,2009-01-01 23:11:50,118,24,61,6,4.26
cDH6PkoQApqKVSzL5C1iow,J,230,2009-08-12 20:49:55,435,308,192,6,3.63
3xlBfGV9vFUmZapiT5NPfg,Nelson,468,2011-01-20 09:06:14,453,143,179,16,3.65
Hi10sGSZNxQH3NLyWSZ1oA,Fox,17473,2009-05-26 11:33:58,206296,185823,195814,3493,3.77
moNh483qY4qG7vN8e4KAPw,Alley,18,2011-12-13 04:45:16,106,16,16,2,3.55
BImHHKukdPNltitu6uYoFw,Ljubica,81,2010-05-05 18:43:40,82,18,14,5,3.18
-2U8X6XX1NV1mYX-2MCtKg,Lexci,71,2010-06-03 03:11:05,139,20,42,8,4.31
w171mA7wzYhViSzc5hkydA,Harry,18,2011-04-13 05:33:31,39,20,36,3,3.72
U8sFGYwhd_Vr8li688ptfQ,Rosemary,26,2009-08-27 21:01:11,66,23,13,1,4.33
TvPnSqHGeSvy79WR0GbIZw,Metal Chick,45,2011-08-21 07:47:43,118,21,43,1,4.0
wZYFf3deapERlQ3pu2aBhw,Dustin,136,2011-02-02 01:40:21,595,138,118,3,3.07
dZEi2yfyNf3CO8VuAClg2g,Albert,61,2008-04-23 23:21:01,52,6,30,1,3.47
cP-UyxlDAJuOTUdrerySGQ,David,846,2010-07-19 18:37:19,501,128,182,22,3.93
0rrTPc96cOejT2lnHmP3Fw,Uri,112,2008-11-18 19:00:01,176,42,75,11,4.05
yNI9GMGGuMz9B6rLxF7mfg,Jason,36,2010-05-22 15:41:07,78,20,27,1,3.42
XCQImV-NwKY6odkwNl6dKQ,Sarah,143,2010-09-22 19:50:19,607,110,194,9,3.58
UPkYERQ8rAoGtXRr9zrfbQ,Stephie,11,2011-02-20 18:07:21,21,9,10,2,4.64
1j2JMrWrodjW8C15THx7cA,grace,24,2009-05-07 16:06:56,59,14,16,1,3.25
4U8qIgY_7oxtgL0z4rr4qg,Wendy,19,2012-05-19 02:54:43,61,5,14,2,3.53
Gv2wHeY8sQuyEUS8yX56HA,Paul,626,2011-02-06 00:00:24,407,103,153,8,3.69
x8kKSYuDhr0we7Vd7v44SA,Jeff,13,2011-02-27 05:44:28,123,17,28,0,4.13
a61H0zLDVXziFzVw2U7akg,Robyn,125,2010-05-04 03:26:56,371,100,149,7,3.67
okTUoTXpPl7PhbVKNnHhXA,Ashley,63,2011-05-03 19:08:19,227,105,128,5,3.8
aXf5dzHM1n8VEFH3EEaamg,Susan,13,2011-07-30 17:49:35,33,13,10,0,3.77
